172	11										
Time	C2H2	H2	H	O2	OH	H2O	CO	A4	T	P	Alpha
0.010106479	5.01E-08	5.84E-07	5.53E-10	4.40E-07	1.38E-10	9.19E-07	0	1.76E-14	1194	1	0.998156627
0.010176481	5.11E-08	5.85E-07	5.95E-10	4.20E-07	1.39E-10	9.21E-07	0	1.89E-14	1204	1	0.997988348
0.010245905	5.22E-08	5.86E-07	6.37E-10	4.01E-07	1.39E-10	9.22E-07	0	2.02E-14	1213	1	0.997920245
0.010319439	5.34E-08	5.86E-07	6.82E-10	3.81E-07	1.38E-10	9.23E-07	0	2.17E-14	1223	1	0.997731396
0.010392259	5.46E-08	5.86E-07	7.26E-10	3.62E-07	1.37E-10	9.22E-07	0	2.33E-14	1234	1	0.997511256
0.010464451	5.59E-08	5.87E-07	7.70E-10	3.44E-07	1.36E-10	9.22E-07	0	2.50E-14	1244	1	0.997349351
0.010535954	5.73E-08	5.88E-07	8.13E-10	3.27E-07	1.34E-10	9.22E-07	0	2.69E-14	1254	1	0.997047765
0.010677094	6.01E-08	5.89E-07	8.96E-10	2.95E-07	1.29E-10	9.21E-07	0	3.09E-14	1274	1	0.996506203
0.010815759	6.31E-08	5.89E-07	9.73E-10	2.66E-07	1.24E-10	9.18E-07	0	3.55E-14	1294	1	0.995788299
0.010962559	6.65E-08	5.90E-07	1.05E-09	2.39E-07	1.17E-10	9.14E-07	0	4.12E-14	1315	1	0.994809137
0.011106823	7.01E-08	5.91E-07	1.11E-09	2.14E-07	1.11E-10	9.10E-07	0	4.78E-14	1335	1	0.993675222
0.011248637	7.38E-08	5.91E-07	1.16E-09	1.92E-07	1.05E-10	9.04E-07	0	5.52E-14	1356	1	0.992147922
0.011388106	7.75E-08	5.90E-07	1.20E-09	1.73E-07	1.01E-10	8.98E-07	0	6.36E-14	1377	1	0.990482986
0.011534391	8.15E-08	5.91E-07	1.24E-09	1.55E-07	9.61E-11	8.92E-07	0	7.39E-14	1396	1	0.988276722
0.011678427	8.54E-08	5.90E-07	1.26E-09	1.39E-07	9.26E-11	8.86E-07	0	8.54E-14	1416	1	0.985369679
0.011820305	8.92E-08	5.89E-07	1.28E-09	1.25E-07	8.99E-11	8.79E-07	0	9.82E-14	1436	1	0.982425326
0.011960089	9.27E-08	5.89E-07	1.30E-09	1.13E-07	8.81E-11	8.71E-07	0	1.13E-13	1455	1	0.978543586
0.012105577	9.62E-08	5.88E-07	1.31E-09	1.01E-07	8.68E-11	8.64E-07	0	1.29E-13	1475	1	0.974220549
0.012249001	9.94E-08	5.87E-07	1.32E-09	9.07E-08	8.63E-11	8.56E-07	0	1.47E-13	1495	1	0.968862537
0.012319955	1.01E-07	5.86E-07	1.33E-09	8.61E-08	8.63E-11	8.52E-07	0	1.57E-13	1505	1	0.965683527
0.012390409	1.02E-07	5.86E-07	1.33E-09	8.17E-08	8.64E-11	8.48E-07	0	1.67E-13	1514	1	0.962871632
0.012460381	1.03E-07	5.85E-07	1.33E-09	7.76E-08	8.67E-11	8.44E-07	0	1.77E-13	1524	1	0.959691662
0.012529877	1.04E-07	5.84E-07	1.34E-09	7.37E-08	8.70E-11	8.41E-07	0	1.88E-13	1534	1	0.955841508
0.01267422	1.07E-07	5.83E-07	1.34E-09	6.65E-08	8.71E-11	8.34E-07	0	2.12E-13	1550	1	0.948827588
0.012816974	1.09E-07	5.82E-07	1.34E-09	6.01E-08	8.77E-11	8.28E-07	0	2.37E-13	1566	1	0.939950101
0.012958192	1.10E-07	5.81E-07	1.34E-09	5.43E-08	8.84E-11	8.21E-07	0	2.63E-13	1582	1	0.931307408
0.013097909	1.11E-07	5.79E-07	1.34E-09	4.91E-08	8.94E-11	8.14E-07	0	2.90E-13	1598	1	0.92185253
